,Track Name,Artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms_log,is_key_0,is_key_1,is_key_2,is_key_3,is_key_4,is_key_5,is_key_6,is_key_7,is_key_8,is_key_9,is_key_10,is_key_11
0,Bad and Boujee (feat. Lil Uzi Vert),Migos,0.061,0.927,343150.0,0.665,0.0,0.12300000000000001,-5.313,1.0,0.244,127.07600000000001,4.0,0.175,12.74592294833678,0,0,0,0,0,0,0,0,0,0,0,1
1,Fake Love,Drake,0.10800000000000001,0.927,210937.0,0.488,0.0,0.196,-9.433,0.0,0.42,133.987,4.0,0.605,12.259314789675805,0,0,0,0,0,0,0,0,0,1,0,0
2,Starboy,The Weeknd,0.165,0.6809999999999999,230453.0,0.594,3.49e-06,0.134,-7.028,1.0,0.282,186.054,4.0,0.535,12.347802216072166,0,0,0,0,0,0,0,1,0,0,0,0
3,Closer,The Chainsmokers,0.414,0.748,244960.0,0.524,0.0,0.111,-5.599,1.0,0.0338,95.01,4.0,0.6609999999999999,12.408850210891512,0,0,0,0,0,0,0,0,1,0,0,0
4,Black Beatles,Rae Sremmurd,0.13,0.794,291893.0,0.6459999999999999,0.0,0.14,-6.235,1.0,0.0614,145.931,4.0,0.322,12.584142575739314,1,0,0,0,0,0,0,0,0,0,0,0
5,Broccoli (feat. Lil Yachty),DRAM,0.23600000000000002,0.8859999999999999,225205.0,0.525,0.0,0.057,-7.39,1.0,0.131,145.99,4.0,0.708,12.32476637748788,0,0,0,0,0,0,0,0,1,0,0,0
6,One Dance,Drake,0.00784,0.7909999999999999,173987.0,0.619,0.004229999999999999,0.35100000000000003,-5.886,1.0,0.0532,103.98899999999999,4.0,0.371,12.06673586276186,0,1,0,0,0,0,0,0,0,0,0,0
7,Caroline,Aminé,0.174,0.9520000000000001,209640.0,0.318,0.0,0.205,-10.357000000000001,1.0,0.467,120.07700000000001,4.0,0.665,12.253147052916102,0,0,0,0,0,0,0,0,0,0,1,0
8,Let Me Love You,DJ Snake,0.0784,0.47600000000000003,205947.0,0.718,1.0199999999999999e-05,0.122,-5.309,1.0,0.0576,199.864,4.0,0.142,12.235374133115743,0,0,0,0,0,0,0,0,1,0,0,0
9,Bounce Back,Big Sean,0.105,0.77,222360.0,0.5670000000000001,0.0,0.125,-5.6979999999999995,1.0,0.175,81.477,4.0,0.26,12.312052969067405,0,0,1,0,0,0,0,0,0,0,0,0
